login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
TheLarkInn,TheLarkInn/angular2-seed-advanced,2016-04-02T21:57:38Z,0,0,TypeScript,True,True,mit
TheLarkInn,TheLarkInn/angular2-start-template,2016-04-15T13:50:03Z,1,1,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/angular2-template-loader,2016-06-02T17:17:42Z,205,205,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/angular2-universal-starter,2016-03-28T14:28:58Z,0,0,TypeScript,True,True,
TheLarkInn,TheLarkInn/angular2-webpack,2016-08-05T02:40:03Z,1,1,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/angular2-webpack-lite,2016-04-21T14:31:25Z,43,43,TypeScript,True,True,mit
TheLarkInn,TheLarkInn/angular2-webpack-ngconf,2016-04-19T18:58:22Z,0,0,,True,True,
TheLarkInn,TheLarkInn/angular2-webpack-starter,2016-04-08T16:57:42Z,0,0,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/angular2-webpack2,2016-04-01T01:10:08Z,0,0,JavaScript,True,True,
TheLarkInn,TheLarkInn/angular2-webpack2-seed,2016-05-16T19:04:20Z,0,0,TypeScript,True,True,mit
TheLarkInn,TheLarkInn/angular2-webpack2-starter,2016-06-07T16:05:07Z,1,1,TypeScript,True,True,apache-2.0
TheLarkInn,TheLarkInn/ansi-regex,2023-01-19T20:00:51Z,3,3,Rust,True,True,mit
TheLarkInn,TheLarkInn/apex,2016-10-15T22:01:41Z,0,0,Go,True,True,mit
TheLarkInn,TheLarkInn/artsy-webpack-tour,2017-01-31T18:05:53Z,523,523,,True,True,
TheLarkInn,TheLarkInn/awesome-typescript-loader,2016-05-12T13:20:04Z,0,0,TypeScript,True,True,other
TheLarkInn,TheLarkInn/babel,2016-12-05T16:09:26Z,0,0,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/babel-plugin-dynamic-import-webpack,2016-10-28T13:22:13Z,1,1,JavaScript,True,False,mit
TheLarkInn,TheLarkInn/babel-preset-modern-node,2016-05-21T05:17:41Z,0,0,JavaScript,True,False,mit
TheLarkInn,TheLarkInn/babel-webpack-min,2016-08-17T20:51:11Z,0,0,JavaScript,True,True,
TheLarkInn,TheLarkInn/bcmarinacci.theme-material-operator-1.3.0,2017-07-18T22:59:46Z,2,2,,True,True,
TheLarkInn,TheLarkInn/better-dateinput-polyfill,2016-03-04T15:12:42Z,0,0,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/bible_gateway,2014-03-17T12:28:41Z,1,1,Ruby,True,True,mit
TheLarkInn,TheLarkInn/blade,2015-07-13T20:13:55Z,1,1,JavaScript,True,True,
TheLarkInn,TheLarkInn/bolt,2018-05-05T06:27:21Z,0,0,JavaScript,True,False,mit
TheLarkInn,TheLarkInn/bootstrap,2016-01-22T18:56:42Z,1,1,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/budgeting-sample-app-webpack2,2016-11-04T22:17:11Z,7,7,JavaScript,True,True,
TheLarkInn,TheLarkInn/bundle-buddy,2017-07-11T17:03:15Z,0,0,JavaScript,True,True,
TheLarkInn,TheLarkInn/bundle-buddy-webpack-plugin,2017-07-12T16:16:50Z,195,195,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/bundler-performance-benchmark,2017-12-20T22:34:00Z,61,61,JavaScript,True,True,
TheLarkInn,TheLarkInn/CDA-Claim-Parser,2014-05-21T18:33:36Z,0,0,,True,True,
TheLarkInn,TheLarkInn/chancejs,2018-06-14T21:27:15Z,3,3,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/CLC-Mens-Choir-Schedule,2016-09-12T21:32:59Z,0,0,,True,True,
TheLarkInn,TheLarkInn/CLC-Mens-Choir-Schedules,2016-09-12T21:32:46Z,0,0,,True,True,
TheLarkInn,TheLarkInn/code-splitting-examples,2017-06-16T04:02:31Z,28,28,JavaScript,True,True,
TheLarkInn,TheLarkInn/coflux,2016-08-24T20:29:57Z,0,0,JavaScript,True,True,
TheLarkInn,TheLarkInn/compare-webpack-target-bundles,2016-08-23T03:11:04Z,143,143,JavaScript,True,True,
TheLarkInn,TheLarkInn/create-react-app,2018-05-13T04:10:42Z,2,2,JavaScript,True,False,mit
TheLarkInn,TheLarkInn/crystal,2015-08-06T14:25:11Z,1,1,Crystal,True,True,other
TheLarkInn,TheLarkInn/ddc-loader,2016-11-09T21:18:28Z,0,0,,True,True,mit
TheLarkInn,TheLarkInn/DefinitelyTyped,2016-06-12T19:43:16Z,0,0,TypeScript,True,True,other
TheLarkInn,TheLarkInn/DiscordBot,2022-03-11T13:17:23Z,1,1,,True,True,apache-2.0
TheLarkInn,TheLarkInn/docs,2017-08-18T08:52:16Z,0,0,JavaScript,True,True,
TheLarkInn,TheLarkInn/Dollar.swift,2014-06-20T21:34:41Z,1,1,Swift,True,True,mit
TheLarkInn,TheLarkInn/Edge-Enterprise,2021-11-12T18:29:24Z,0,0,PowerShell,True,False,cc-by-4.0
TheLarkInn,TheLarkInn/electron-quick-start,2016-03-31T01:57:26Z,0,0,JavaScript,True,True,cc0-1.0
TheLarkInn,TheLarkInn/electron-react-boilerplate,2016-06-13T18:54:57Z,0,0,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/em-http-request,2014-07-08T14:54:34Z,0,0,,True,True,
TheLarkInn,TheLarkInn/es6-todomvc,2016-05-25T02:19:54Z,1,1,JavaScript,True,True,
TheLarkInn,TheLarkInn/everything-is-a-plugin,2017-03-25T12:26:28Z,144,144,JavaScript,True,True,apache-2.0
TheLarkInn,TheLarkInn/example-vscode-bundled-extension,2018-08-27T19:06:19Z,7,7,JavaScript,True,True,
TheLarkInn,TheLarkInn/example-webpack-loader,2017-08-10T21:22:12Z,12,12,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/experiment-0001,2018-09-13T21:15:53Z,2,2,,True,True,mit
TheLarkInn,TheLarkInn/extract-text-webpack-plugin,2016-04-16T16:10:23Z,0,0,JavaScript,True,True,
TheLarkInn,TheLarkInn/fantasy-birds,2018-04-19T22:33:28Z,0,0,JavaScript,True,True,
TheLarkInn,TheLarkInn/fantasy-helpers,2017-08-25T23:43:19Z,0,0,JavaScript,True,True,
TheLarkInn,TheLarkInn/fast-dna,2018-05-07T16:03:59Z,1,1,TypeScript,True,True,mit
TheLarkInn,TheLarkInn/file-loader,2017-12-05T00:23:32Z,0,0,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/finance.js,2019-02-03T05:55:13Z,5,5,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/financial-arithmeticator,2015-12-15T21:36:30Z,1,1,JavaScript,True,True,
TheLarkInn,TheLarkInn/flow,2016-10-20T22:36:21Z,1,1,OCaml,True,True,other
TheLarkInn,TheLarkInn/Front-End-Checklist,2018-09-10T20:22:16Z,119,119,JavaScript,True,False,cc0-1.0
TheLarkInn,TheLarkInn/gatsby,2016-09-05T18:16:05Z,0,0,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/generator-hottowel,2015-10-13T15:24:50Z,0,0,JavaScript,True,True,
TheLarkInn,TheLarkInn/has-flag,2023-01-18T18:55:35Z,2,2,Rust,True,True,mit
TheLarkInn,TheLarkInn/hiring-without-whiteboards,2017-03-16T03:03:54Z,2,2,,True,False,
TheLarkInn,TheLarkInn/html-webpack-plugin,2016-11-04T17:38:42Z,0,0,JavaScript,True,True,mit
TheLarkInn,TheLarkInn/ics.js,2015-11-18T20:08:32Z,0,0,JavaScript,True,True,
TheLarkInn,TheLarkInn/insight,2017-11-03T07:20:33Z,1,1,JavaScript,True,False,
TheLarkInn,TheLarkInn/intro-to-angular2,2016-03-02T21:04:20Z,0,0,TypeScript,True,True,
TheLarkInn,TheLarkInn/intro.js,2016-04-07T15:46:06Z,1,1,JavaScript,True,True,other
TheLarkInn,TheLarkInn/iPortfolio,2014-05-21T14:57:38Z,1,1,Objective-C,True,True,
TheLarkInn,TheLarkInn/is-docker,2023-01-21T19:43:26Z,5,5,Rust,True,True,mit
TheLarkInn,TheLarkInn/is-interactive,2023-01-21T00:07:06Z,4,4,Rust,True,True,mit
TheLarkInn,TheLarkInn/is-unicode-supported,2023-01-23T00:31:59Z,3,3,Rust,True,True,mit
TheLarkInn,TheLarkInn/is-wsl,2023-01-21T20:22:59Z,10,10,Rust,True,True,mit
